"filename", "language", "SCSS", "TypeScript", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.component.html", "HTML", 0, 0, 0, 0, 78, 1, 5, 84
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/pomodoro.component.ts", "TypeScript", 0, 95, 0, 0, 0, 3, 18, 116
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/settings.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 9, 39
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/state.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 5
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/storage/settings.storage.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 7, 35
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/pomodoro/timer.ts", "TypeScript", 0, 162, 0, 0, 0, 12, 35, 209
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/model/change.detector.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 7, 39
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/model/model.ts", "TypeScript", 0, 45, 0, 0, 0, 1, 10, 56
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/model/state.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 9, 34
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/model/validator.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 6, 27
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/project-details.component.css", "CSS", 0, 0, 37, 0, 0, 5, 13, 55
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/project-details.component.html", "HTML", 0, 0, 0, 0, 280, 1, 18, 299
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/project-details.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 6, 26
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/project-details.component.ts", "TypeScript", 0, 117, 0, 0, 0, 1, 17, 135
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/stage/project.stage.model.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 6, 25
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/project-details/stage/project.stages.controller.ts", "TypeScript", 0, 60, 0, 0, 0, 1, 13, 74
"/media/roman/414054776F940E4C/Projects/PARAtask/paratime/src/app/projects/adding/projects.adding.controller.ts", "TypeScript", 0, 51, 0, 0, 0, 2, 13, 66
